Medicine_ID,Product_NDC,Generic_Name,Brand_Name,Manufacturer,Active_Ingredient,Strength,Dosage_Form,Route,Pharm_Class,Category_ID,Category_Name
MED019891,41163-081,Miconazole Nitrate,Equaline Miconazole 3,"United Natural Foods, Inc. Dba Unfi",UNKNOWN,UNKNOWN,KIT,UNKNOWN,UNKNOWN,CAT015,Others
MED019907,41163-613,Diphenhydramine Hydrochloride,Allergy Relief,"United Natural Foods, Inc. Dba Unfi",DIPHENHYDRAMINE HYDROCHLORIDE,25 mg/1,CAPSULE,ORAL,Histamine H1 Receptor Antagonists [MoA],CAT006,Respiratory
MED019917,41163-947,Salicylic Acid 2%,Oil Free Acne Wash,"United Natural Foods, Inc. Dba Unfi",SALICYLIC ACID,20.6 mg/mL,LOTION,TOPICAL,UNKNOWN,CAT015,Others
MED019940,41226-061,Acetaminophen,Kroger Children Pain Plus Fever Chewables,Kroger Company,ACETAMINOPHEN,160 mg/1,"TABLET, CHEWABLE",ORAL,UNKNOWN,CAT015,Others
MED019944,41226-694,"Dextromethorphan Hydrobromide, Acetaminophen, Doxylamine Succinate",Nighttime Cold And Flu,Kroger Company,ACETAMINOPHEN,325 mg/1,"CAPSULE, LIQUID FILLED",ORAL,Antihistamine [EPC],CAT006,Respiratory
MED020013,41520-996,Diphenhydramine Hydrochloride,Allergy Relief,"Foodhold U.S.A., Llc",DIPHENHYDRAMINE HYDROCHLORIDE,25 mg/1,"CAPSULE, LIQUID FILLED",ORAL,Histamine H1 Receptor Antagonists [MoA],CAT006,Respiratory
MED020018,0143-9507,Etomidate,Etomidate,Hikma Pharmaceuticals Usa Inc.,ETOMIDATE,2 mg/mL,INJECTION,INTRAVENOUS,General Anesthesia [PE],CAT005,Neurology
MED020032,42291-031,Dutasteride And Tamsulosin Hydrochloride Capsules,Dutasteride And Tamsulosin Hydrochloride,Avkare,DUTASTERIDE,.5 mg/1,CAPSULE,ORAL,5-alpha Reductase Inhibitor [EPC],CAT009,Oncology
MED020044,42291-416,Famciclovir,Famciclovir,Avkare,FAMCICLOVIR,500 mg/1,"TABLET, FILM COATED",ORAL,DNA Polymerase Inhibitors [MoA],CAT012,Ophthalmology
MED020109,42571-337,Diphenhydramine Hydrochloride,Diphenhydramine,Micro Labs Limited,DIPHENHYDRAMINE HYDROCHLORIDE,50 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR,Histamine H1 Receptor Antagonists [MoA],CAT006,Respiratory
MED020134,0143-9723,Clonidine Hydrochloride,Clonidine Hydrochloride,Hikma Pharmaceuticals Usa Inc.,CLONIDINE HYDROCHLORIDE,500 ug/mL,"INJECTION, SOLUTION",INTRAVENOUS,Adrenergic alpha2-Agonists [MoA],CAT003,Diabetes
MED020168,42806-113,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,"Epic Pharma, Llc",ACETAMINOPHEN,325 mg/1,TABLET,ORAL,Opioid Agonist [EPC],CAT004,Pain Management
MED020247,43319-071,Zinc Oxide,Goongbe Baby Easy Wash Sunlotion Spf 30,Zero To Seven Inc.,ZINC OXIDE,20.026 g/100g,LOTION,TOPICAL,UNKNOWN,CAT015,Others
MED020279,43406-0674,"Allium Cepa, Calc Carb, Ferrum Phos, Hepar Sulph Calc, Lycopodium, Merc Solub, Pulsatilla, Silicea, Sulphur",Runny Nose Cp,"Natural Creations, Inc",CALCIUM SULFIDE,30 [hp_X]/mL,LIQUID,ORAL,Allergens [CS],CAT006,Respiratory
MED020341,43598-061,Ziprasidone Mesylate,Ziprasidone Mesylate,"Dr.Reddy'S Laboratories, Inc.",ZIPRASIDONE MESYLATE,20 mg/mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR,Atypical Antipsychotic [EPC],CAT005,Neurology
MED020344,43598-103,Atorvastatin Calcium,Atorvastatin Calcium,Dr. Reddy'S Laboratories Inc,ATORVASTATIN CALCIUM TRIHYDRATE,80 mg/1,TABLET,ORAL,HMG-CoA Reductase Inhibitor [EPC],CAT003,Diabetes
MED020366,43598-553,Lamotrigine,Lamotrigine,Dr. Reddys Laboratories Inc.,LAMOTRIGINE,200 mg/1,"TABLET, ORALLY DISINTEGRATING",ORAL,Anti-epileptic Agent [EPC],CAT005,Neurology
MED020384,43598-939,Topiramate,Topiramate,Dr. Reddys Laboratories Inc.,TOPIRAMATE,25 mg/1,"CAPSULE, EXTENDED RELEASE",ORAL,Cytochrome P450 2C19 Inhibitors [MoA],CAT014,Vitamins & Supplements
MED020490,44517-020,Nitrous Oxide,Nitrous Oxide,Corrigan Propane Llc Dba Blue Water Industrial Products,NITROUS OXIDE,99 L/100L,GAS,RESPIRATORY (INHALATION),UNKNOWN,CAT015,Others
MED020507,44717-089,"Homosalate, Octisalate, Zinc Oxide",Perfecting Blendrops Broad Spectrum Spf 46,"Wasatch Product Development, Llc",HOMOSALATE,6 g/100g,SOLUTION/ DROPS,TOPICAL,UNKNOWN,CAT015,Others
MED020521,44911-0299,"Aurum Metallicum, Baryta Carbonica, Calcarea Carbonica, Lachesis Mutus, Lycopodium Clavatum, Natrum Muriaticum, Nux Vomica, Phosphorus",Mentox Hp,"Energique, Inc.",BARIUM CARBONATE,30 [hp_X]/mL,LIQUID,ORAL,Allergens [CS],CAT006,Respiratory
MED020527,44911-0473,"Aralia Quinquefolia, Ginkgo Biloba, Hydrocotyle Asiatica, Cerebrum Suis, Hypophysis Suis, Hypothalamus Suis, Phosphorus, Silicea",Hypothalmupar,"Energique, Inc.",AMERICAN GINSENG,3 [hp_X]/mL,LIQUID,ORAL,UNKNOWN,CAT015,Others
MED020536,44911-0601,"Coxsackie Nosode A3, A4, A5, A7, B1, B3, B5",Hfm Cord,"Energique, Inc.",HUMAN COXSACKIEVIRUS A,6 [hp_C]/mL,LIQUID,ORAL,UNKNOWN,CAT015,Others
MED020564,45802-269,Permethrin,Permethrin,Padagis Israel Pharmaceuticals Ltd,PERMETHRIN,50 mg/g,CREAM,TOPICAL,Pyrethrins [CS],CAT001,Antibiotics
MED020576,45963-345,Desipramine Hydrochloride,Desipramine Hydrochloride,"Actavis Pharma, Inc.",DESIPRAMINE HYDROCHLORIDE,100 mg/1,"TABLET, FILM COATED",ORAL,Tricyclic Antidepressant [EPC],CAT005,Neurology
MED020580,46122-203,Cetirizine Hcl,Good Neighbor Pharmacy Childrens All Day Allergy,Amerisource Bergen,CETIRIZINE HYDROCHLORIDE,5 mg/5mL,SOLUTION,ORAL,Histamine H1 Receptor Antagonists [MoA],CAT006,Respiratory
MED020588,46122-628,Phenazopyridine Hydrochloride,Good Neighbor Maximum Strength Urinary Pain Relief,Amerisourcebergen Drug Corp,PHENAZOPYRIDINE HYDROCHLORIDE,99.5 mg/1,TABLET,ORAL,UNKNOWN,CAT015,Others
MED020651,46708-677,Chlorthalidone,Chlorthalidone Chlorthalidone,Alembic Pharmaceuticals Limited,CHLORTHALIDONE,50 mg/1,TABLET,ORAL,Increased Diuresis [PE],CAT003,Diabetes
MED020657,46708-742,Acitretin,Acitretin,Alembic Pharmaceuticals Limited,ACITRETIN,17.5 mg/1,CAPSULE,ORAL,Retinoid [EPC],CAT008,Dermatology
MED020670,47219-210,Naja Naja Venom,Nyloxin,Nutra Pharma Corporation,NAJA NAJA VENOM,3 [hp_X]/mL,"SPRAY, METERED",ORAL,UNKNOWN,CAT015,Others
MED020673,47335-219,Ketorolac Tromethamine,Ketorolac Tromethamine,"Sun Pharmaceutical Industries, Inc.",KETOROLAC TROMETHAMINE,5 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,Anti-Inflammatory Agents,CAT004,Pain Management
MED020699,47593-675,Chloroxylenol,Lagarde,Ecolab Inc.,CHLOROXYLENOL,.5 mg/100mL,SOLUTION,TOPICAL,UNKNOWN,CAT015,Others
MED020758,48951-1128,Arnica E Pl. Tota 3,Arnica E Pl. Tota 3,Uriel Pharmacy Inc.,ARNICA MONTANA,3 [hp_X]/1,PELLET,ORAL,UNKNOWN,CAT015,Others
MED020804,49035-192,"Acetaminophen, Dextromethorphan Hbr, Doxylamine Succinate, Phenylephrine Hcl",Daytime Nighttime Cold Flu Relief,"Equate (Wal-Mart Stores, Inc.) (See Also Wal-Mart Inc)",UNKNOWN,UNKNOWN,KIT,UNKNOWN,UNKNOWN,CAT015,Others
MED020832,49035-921,Esomeprazole,Equate Esomeprazole Magnesium,Wal-Mart Stores Inc,ESOMEPRAZOLE,20 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,Cytochrome P450 2C19 Inhibitors [MoA],CAT014,Vitamins & Supplements
MED020844,49252-065,Olmesartan Medoxomil,Olmesartan Medoxomil,Inventia Healthcare Limited,OLMESARTAN MEDOXOMIL,5 mg/1,"TABLET, COATED",ORAL,Angiotensin 2 Receptor Antagonists [MoA],CAT003,Diabetes
MED020893,49575-002,Nitrogen,Nitrogen,Machine & Welding Supply Company Dba Arc3 Gases South,NITROGEN,990 mL/L,GAS,RESPIRATORY (INHALATION),UNKNOWN,CAT015,Others
MED020934,49884-171,Colchicine,Colchicine,"Par Health Usa, Llc",COLCHICINE,.6 mg/1,"TABLET, FILM COATED",ORAL,Alkaloid [EPC],CAT012,Ophthalmology
MED021018,50090-2444,Ceftriaxone Sodium,Ceftriaxone Sodium,A-S Medication Solutions,CEFTRIAXONE SODIUM,250 mg/1,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR,Cephalosporin Antibacterial [EPC],CAT001,Antibiotics
MED021026,50090-3204,Pravastatin Sodium,Pravastatin Sodium,A-S Medication Solutions,PRAVASTATIN SODIUM,80 mg/1,TABLET,ORAL,HMG-CoA Reductase Inhibitor [EPC],CAT003,Diabetes
MED021030,50090-3292,Valsartan And Hydrochlorothiazide,Valsartan And Hydrochlorothiazide,A-S Medication Solutions,HYDROCHLOROTHIAZIDE,12.5 mg/1,"TABLET, FILM COATED",ORAL,Angiotensin 2 Receptor Antagonists [MoA],CAT003,Diabetes
MED021088,0220-0951,Bufo Bufo Cutaneous Gland,Bufo Rana,Boiron,BUFO BUFO CUTANEOUS GLAND,9 [hp_C]/9[hp_C],PELLET,ORAL,UNKNOWN,CAT015,Others
MED021106,0220-0973,Calcium Fluoride,Calcarea Fluorica,Boiron,CALCIUM FLUORIDE,12 [hp_C]/12[hp_C],PELLET,ORAL,UNKNOWN,CAT015,Others
MED021117,50090-6177,Raloxifene Hydrochloride,Raloxifene Hydrochloride,A-S Medication Solutions,RALOXIFENE HYDROCHLORIDE,60 mg/1,"TABLET, COATED",ORAL,Estrogen Agonist/Antagonist [EPC],CAT009,Oncology
MED021118,50090-6226,Azithromycin,Azithromycin,A-S Medication Solutions,AZITHROMYCIN MONOHYDRATE,200 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,Macrolide Antimicrobial [EPC],CAT001,Antibiotics
MED021163,50090-6869,Baclofen,Baclofen,A-S Medication Solutions,BACLOFEN,10 mg/1,TABLET,ORAL,GABA A Agonists [MoA],CAT005,Neurology
MED021172,50090-6965,Fexofenadine Hcl,Fexofenadine Hcl,A-S Medication Solutions,FEXOFENADINE HYDROCHLORIDE,180 mg/1,TABLET,ORAL,Histamine H1 Receptor Antagonists [MoA],CAT006,Respiratory
MED021223,50090-7677,Enalapril Maleate,Enalapril Maleate,A-S Medication Solutions,ENALAPRIL MALEATE,20 mg/1,TABLET,ORAL,Angiotensin Converting Enzyme Inhibitor [EPC],CAT003,Diabetes
MED021231,50090-7732,Dicyclomine Hydrochloride,Dicyclomine Hydrochloride,A-S Medication Solutions,DICYCLOMINE HYDROCHLORIDE,20 mg/1,TABLET,ORAL,Anticholinergic [EPC],CAT005,Neurology
MED021243,50090-7868,Metformin Hydrochloride,Metformin Hydrochloride,A-S Medication Solutions,METFORMIN HYDROCHLORIDE,1000 mg/1,"TABLET, FILM COATED",ORAL,Biguanide [EPC],CAT002,Cardiovascular
MED021256,50111-787,Azithromycin,Azithromycin,"Teva Pharmaceuticals Usa, Inc.",AZITHROMYCIN MONOHYDRATE,250 mg/1,"TABLET, FILM COATED",ORAL,Macrolide Antimicrobial [EPC],CAT001,Antibiotics
MED021259,50181-0084,"Phytolacca Decandra, Hypophysis (Suis), Scrophularia Nodosa, Hypothalamus (Suis), Calcarea Carbonica, Cimicifuga Racemosa, Lilium Tigrinum, Sulphur, Causticum, Graphites, Kali Phosphoricum",Mbm 13 Female,"The Wellness Center For Research And Education, Inc.",BLACK COHOSH,89 [hp_C]/mL,LIQUID,ORAL,UNKNOWN,CAT015,Others
MED021276,0220-1306,Quinine Sulfate,Chininum Sulphuricum,Boiron,QUININE SULFATE,9 [hp_C]/9[hp_C],PELLET,ORAL,Antimalarial [EPC],CAT001,Antibiotics
MED021277,50228-500,Diltiazem Hydrochloride,Diltiazem Hydrochloride,"Sciegen Pharmaceuticals, Inc.",DILTIAZEM HYDROCHLORIDE,420 mg/1,"TABLET, EXTENDED RELEASE",ORAL,Calcium Channel Antagonists [MoA],CAT003,Diabetes
MED021289,50242-122,Pirfenidone,Esbriet,"Genentech, Inc.",PIRFENIDONE,267 mg/1,"TABLET, COATED",ORAL,Pyridone [EPC],CAT014,Vitamins & Supplements
MED021310,50268-191,Cyclobenzaprine,Cyclobenzaprine Hydrochloride,Avpak,CYCLOBENZAPRINE HYDROCHLORIDE,10 mg/1,"TABLET, FILM COATED",ORAL,Centrally-mediated Muscle Relaxation [PE],CAT005,Neurology
MED021340,50268-797,Ursodiol,Ursodiol,Avpak,URSODIOL,300 mg/1,CAPSULE,ORAL,Bile Acid [EPC],CAT007,Gastrointestinal
MED021352,50390-211,Titanium Dioxide,Artistry Exact Fit Longwearing Foundation Shade Cappuccino L5W1,Amway Corp,TITANIUM DIOXIDE,40.25 mg/mL,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED021355,50390-240,"Octinoxate, Oxybenzone",Artistry Youth Xtend Lifting Smoothing Foundation Shade Golden L4N1,Amway Corp,OCTINOXATE,75 mg/mL,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED021384,50580-752,Cetirizine Hydrochloride,Zyrtec Allergy,Kenvue Brands Llc,UNKNOWN,UNKNOWN,KIT,UNKNOWN,UNKNOWN,CAT015,Others
MED021401,50742-665,"Phenobarbital, Hyoscyamine Sulfate, Atropine Sulfate, Scopolamine Hydrobromide","Phenobarbital, Hyoscyamine Sulfate, Atropine Sulfate, Scopolamine Hydrobromide","Ingenus Pharmaceuticals, Llc",ATROPINE SULFATE,.0194 mg/5mL,ELIXIR,ORAL,Anticholinergic [EPC],CAT005,Neurology
MED021439,50991-740,"Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride",Deconex Dmx,"Poly Pharmaceuticals, Inc.",DEXTROMETHORPHAN HYDROBROMIDE,17.5 mg/1,TABLET,ORAL,Adrenergic alpha1-Agonists [MoA],CAT003,Diabetes
MED021451,51060-339,Titanium Dioxide,Double Duty Beauty Shape Tape Cloud Coverage Broad Spectrum Spf 15 Sunscreen 35N Medium Neutral,"Tarte, Inc.",TITANIUM DIOXIDE,99 mg/mL,LIQUID,TOPICAL,UNKNOWN,CAT015,Others
MED021466,51079-685,Atenolol,Atenolol,Mylan Institutional Inc.,ATENOLOL,100 mg/1,TABLET,ORAL,Adrenergic beta-Antagonists [MoA],CAT003,Diabetes
MED021480,51167-400,Ivacaftor,Kalydeco,Vertex Pharmaceuticals Incorporated,IVACAFTOR,75 mg/1,GRANULE,ORAL,Chloride Channel Activation Potentiators [MoA],CAT006,Respiratory
MED021536,51316-974,"Avobenzone, Homosalate, Octisalate, Octocrylene",Cvs 70 Daily Clear Sunscreen,Cvs Pharmacy,AVOBENZONE,30 mg/g,SPRAY,TOPICAL,UNKNOWN,CAT015,Others
MED021537,51316-981,Tolnaftate,Toe Area Treatment,Cvs,TOLNAFTATE,10 mg/mL,LIQUID,TOPICAL,UNKNOWN,CAT015,Others
MED021545,51393-5622,"Centella Asiatica, Iris Versicolor Root, Arctium Lappa Root, Sodium Chloride, Ruta Graveolens Flowering Top, Silicon Dioxide, Taraxacum Officinale, And Thuja Occidentalis Root",Eczema Control,Forces Of Nature,ARCTIUM LAPPA ROOT,12 [hp_C]/100mL,SOLUTION/ DROPS,TOPICAL,UNKNOWN,CAT015,Others
MED021609,51628-0033,Chloroxylenol,Xtra Antibacterial Hand Juicy Orange,"My Imports Usa, Llc",CHLOROXYLENOL,3 mg/mL,GEL,TOPICAL,UNKNOWN,CAT015,Others
MED021626,51655-087,Alfuzosin Hydrochloride,Alfuzosin Hydrochloride,"Northwind Health Company, Llc",ALFUZOSIN HYDROCHLORIDE,10 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,Adrenergic alpha-Antagonists [MoA],CAT003,Diabetes
MED021627,51655-088,Hydrochlorothiazide,Hydrochlorothiazide,"Northwind Health Company, Llc",HYDROCHLOROTHIAZIDE,25 mg/1,TABLET,ORAL,Increased Diuresis [PE],CAT003,Diabetes
MED021667,51655-943,Carvedilol,Carvedilol,"Northwind Health Company, Llc",CARVEDILOL,6.25 mg/1,"TABLET, FILM COATED",ORAL,Adrenergic alpha-Antagonists [MoA],CAT003,Diabetes
MED021681,0220-2426,Calcium Sulfide,Hepar Sulphuris Calcareum,Boiron,CALCIUM SULFIDE,1 [hp_M]/[hp_M],PELLET,ORAL,UNKNOWN,CAT015,Others
MED021689,51662-1376,Hydralazine Hydrochloride,Hydralazine Hydrochloride,"Hf Acquisition Co Llc, Dba Healthfirst",HYDRALAZINE HYDROCHLORIDE,20 mg/mL,INJECTION,INTRAMUSCULAR,Arteriolar Vasodilation [PE],CAT003,Diabetes
MED021705,51662-1583,Aspirin,Aspirn,"Hf Acquisition Co Llc, Dba Healthfirst",ASPIRIN,325 mg/1,"TABLET, FILM COATED",ORAL,Anti-Inflammatory Agents,CAT004,Pain Management
MED021707,51662-1584,Dextrose Monohydrate,Dextrose Monohydrate,"Hf Acquisition Co Llc, Dba Healthfirst",DEXTROSE MONOHYDRATE,25 g/50mL,"INJECTION, SOLUTION",INTRAVENOUS,UNKNOWN,CAT015,Others
MED021732,51672-4001,Nortriptyline Hydrochloride,Nortriptyline Hydrochloride,"Taro Pharmaceuticals U.S.A., Inc.",NORTRIPTYLINE HYDROCHLORIDE,10 mg/1,CAPSULE,ORAL,Tricyclic Antidepressant [EPC],CAT005,Neurology
MED021754,51754-0204,Verapamil Hydrochloride,Verapamil Hydrochloride,"Exela Pharma Sciences, Llc",VERAPAMIL HYDROCHLORIDE,2.5 mg/mL,INJECTION,INTRAVENOUS,Calcium Channel Antagonists [MoA],CAT003,Diabetes
MED021769,51824-109,Naproxen Sodium,Careall Naproxen Sodium,"New World Imports, Inc.",NAPROXEN SODIUM,220 mg/1,TABLET,ORAL,Anti-Inflammatory Agents,CAT004,Pain Management
MED021773,51991-034,Milnacipran Hydrochloride,Milnacipran Hydrochloride,"Breckenridge Pharmaceutical, Inc.",MILNACIPRAN HYDROCHLORIDE,12.5 mg/1,TABLET,ORAL,Norepinephrine Uptake Inhibitors [MoA],CAT005,Neurology
MED021777,51991-359,Asenapine Maleate,Asenapine,"Breckenridge Pharmaceutical, Inc.",ASENAPINE MALEATE,5 mg/1,TABLET,SUBLINGUAL,Atypical Antipsychotic [EPC],CAT005,Neurology
MED021778,51991-360,Asenapine Maleate,Asenapine,"Breckenridge Pharmaceutical, Inc.",ASENAPINE MALEATE,10 mg/1,TABLET,SUBLINGUAL,Atypical Antipsychotic [EPC],CAT005,Neurology
MED021789,52000-112,Sodium Monofluorophosphate,Universal Advanced Whitening Anti-Cavity Fluoride,Universal Distribution Center Llc,SODIUM MONOFLUOROPHOSPHATE,.76 g/100g,PASTE,DENTAL,UNKNOWN,CAT015,Others
MED021857,53041-618,"Acteaminophen, Dextromethorphan Hbr, Guaifenesin, Phenylephrine Hcl","Tussnex Fm Cold, Flu And Sore Throat",Guardian Drug Company,ACETAMINOPHEN,650 mg/20mL,LIQUID,ORAL,Adrenergic alpha1-Agonists [MoA],CAT003,Diabetes
MED021862,53045-280,"Sodium Fluoride, Potassium Nitrate",Ionite H,"Dharma Research, Inc.",POTASSIUM NITRATE,5 mg/100g,"GEL, DENTIFRICE",DENTAL,UNKNOWN,CAT015,Others
MED021867,53145-319,Undecylenic Acid,Hongocura S,"Menper Distributors, Inc.",UNDECYLENIC ACID,20 mg/100mL,SPRAY,TOPICAL,UNKNOWN,CAT015,Others
MED021871,53185-381,Ibuprofen 200Mg,Ibuprofen 200Mg,"Athlete'S Needs, Inc.",IBUPROFEN,200 mg/1,"TABLET, COATED",ORAL,Anti-Inflammatory Agents,CAT004,Pain Management
MED021875,53208-411,"Avobenzone, Homosalate, Octinoxate, Octisalate, Octocrylene",Gangnam Glow Sunscreen 50,Lg Household & Health Care Ltd.,AVOBENZONE,27 mg/mL,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED021885,53329-800,Isopropyl Alcohol,Isopropyl Alcohol,"Medline Industries, Lp",ISOPROPYL ALCOHOL,70 mL/100mL,LIQUID,TOPICAL,UNKNOWN,CAT015,Others
MED021905,53499-2845,Cold Flu Relief Elderberry,Cold Flu Relief Elderberry,Schwabe North America,ACONITUM NAPELLUS,4 [hp_X]/120mL,SYRUP,ORAL,UNKNOWN,CAT015,Others
MED021918,53645-1441,Cinis Radix Comp 30X,Cinis Radix Comp 30X,"True Botanica, Llc",ACER RUBRUM WHOLE,30 [hp_X]/30mL,LIQUID,ORAL,UNKNOWN,CAT015,Others
MED021940,53746-191,Naproxen Sodium,Naproxen Sodium (Nsaid) Fever Reducer/ Pain Reliever,Amneal Pharmaceuticals Of New York Llc,NAPROXEN SODIUM,220 mg/1,TABLET,ORAL,Anti-Inflammatory Agents,CAT004,Pain Management
MED021957,53942-871,Hydrogen Peroxide,Hydrogen Peroxide,"Demoulas Super Markets, Inc",HYDROGEN PEROXIDE,30 mg/mL,SOLUTION,TOPICAL,UNKNOWN,CAT015,Others
MED021968,53943-239,"Acetaminophen, Chlorpheniramine Maleate, Dextromethorphan Hydrobromide, And Phenylephrine Hydrochloride",Cold Max Nighttime,Discount Drug Mart,ACETAMINOPHEN,325 mg/1,"TABLET, COATED",ORAL,Adrenergic alpha1-Agonists [MoA],CAT003,Diabetes
MED021982,53943-512,"Dextromethorphann Hbr, Guaifenesin",Childrens Cough Mucus Relief,Discount Drug Mart,DEXTROMETHORPHAN HYDROBROMIDE,5 mg/5mL,LIQUID,ORAL,Decreased Respiratory Secretion Viscosity [PE],CAT006,Respiratory
MED022028,54451-005,Nitrogen,Nitrogen,Baker'S Gas & Welding Supplies Inc.,NITROGEN,990 mL/L,GAS,RESPIRATORY (INHALATION),UNKNOWN,CAT015,Others
MED022029,54473-220,"Avobenzone 2.5%, Octinoxate 6%, Oxybenzone 3%",Sun Shades Lip Balm Mountain Mint,Melaleuca Inc.,AVOBENZONE,.1175 g/4.25g,STICK,TOPICAL,UNKNOWN,CAT015,Others
MED022033,54473-410,Colloidal Oatmeal,Renew Intensive Skin Therapy Targeted Eczema Treatment,Melaleuca Inc.,OATMEAL,.5 g/50mL,CREAM,TOPICAL,Allergens [CS],CAT006,Respiratory
MED022038,54723-031,Lidocaine Hydrochloride,Hello Sugar,"Sambria Pharmaceuticals, Llc",LIDOCAINE HYDROCHLORIDE,5 g/100g,CREAM,TOPICAL,Amide Local Anesthetic [EPC],CAT004,Pain Management
MED022059,54860-458,Alcohol,Meijer Hydrating Hand Sanitizer 1Oz - Vanilla,"Shenzhen Lantern Scicence Co.,Ltd.",ALCOHOL,70 mL/100mL,SPRAY,TOPICAL,UNKNOWN,CAT015,Others
MED022061,54860-515,Alcohol,Smart Care Kids Hand Sanitizer Transformers,"Shenzhen Lantern Scicence Co.,Ltd.",ALCOHOL,70 mL/100mL,SPRAY,TOPICAL,UNKNOWN,CAT015,Others
MED022064,54860-556,Alcohol,Smart Care Hand Sanitizer Wild Cherry Blossom,"Shenzhen Lantern Scicence Co.,Ltd.",ALCOHOL,70 mL/100mL,SPRAY,TOPICAL,UNKNOWN,CAT015,Others
MED022071,54973-3014,"Calcium Phosphate, Iron, Potassium Phosphate, Unspecified Form, Magnesium Phosphate, Dibasic Trihydrate, And Sodium Phosphate",Nerve Tonic,Hyland'S Inc.,"CALCIUM PHOSPHATE, UNSPECIFIED FORM",3 [hp_X]/1,TABLET,ORAL,Blood Coagulation Factor [EPC],CAT003,Diabetes
MED022072,54973-3093,"Oyster Shell Calcium Carbonate, Crude, Causticum, Matricaria Recutita, Cinchona Officinalis Bark, Copper, Lycopodium Clavatum Spore, Magnesium Phosphate, Dibasic Trihydrate, Toxicodendron Pubescens Leaf, Silicon Dioxide, And Sulfur",Leg Cramps Pm,Hyland'S Inc.,CAUSTICUM,12 [hp_X]/1,"TABLET, SOLUBLE",ORAL,Calculi Dissolution Agent [EPC],CAT007,Gastrointestinal
MED022083,54973-4113,"Bryonia Alba Root,Calcium Sulfide,Pulsatilla Vulgaris Whole,Ferrosoferric Phosphate,Phosphorus,Antimony Potassium Tartrate,Ipecac,Rumex Crispus Root",Kids Cough And Mucus Daytime Grape Flavor,Hyland'S Consumer Health Inc.,ANTIMONY POTASSIUM TARTRATE,15 [hp_X]/mL,LIQUID,ORAL,UNKNOWN,CAT015,Others
MED022090,55038-001,"Camphor (Synthetic), Menthol, Methyl Salicylate",Pomada Dragon Pain Relieving,Televisa Consumer Products Usa,CAMPHOR (SYNTHETIC),40 mg/g,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED022094,55111-136,Isotretinoin,Zenatane,Dr. Reddy'S Laboratories Limited,ISOTRETINOIN,20 mg/1,"CAPSULE, GELATIN COATED",ORAL,Retinoid [EPC],CAT008,Dermatology
MED022095,55111-256,Ziprasidone,Ziprasidone,Dr. Reddy'S Laboratories Limited,ZIPRASIDONE HYDROCHLORIDE,20 mg/1,CAPSULE,ORAL,Atypical Antipsychotic [EPC],CAT005,Neurology
MED022142,55150-341,Ketorolac Tromethamine,Ketorolac Tromethamine,Eugia Us Llc,KETOROLAC TROMETHAMINE,60 mg/2mL,"INJECTION, SOLUTION",INTRAMUSCULAR,Anti-Inflammatory Agents,CAT004,Pain Management
MED022161,0220-3646,Sodium Sulfate,Natrum Sulphuricum,Boiron,SODIUM SULFATE,12 [hp_X]/12[hp_X],PELLET,ORAL,UNKNOWN,CAT015,Others
MED022247,0220-3973,Kerosene,Petroleum,Boiron,KEROSENE,1 [hp_M]/[hp_M],PELLET,ORAL,UNKNOWN,CAT015,Others
MED022260,55319-968,"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate",Nighttime Cold And Flu Relief,Family Dollar (Family Wellness),ACETAMINOPHEN,325 mg/1,"CAPSULE, LIQUID FILLED",ORAL,Antihistamine [EPC],CAT006,Respiratory
MED022274,55513-148,Epoetin Alfa,Epogen,"Amgen, Inc",EPOETIN,4000 [iU]/mL,SOLUTION,INTRAVENOUS,Erythropoiesis-stimulating Agent [EPC],CAT010,Allergy
MED022298,0220-4051,Physostigma Venenosum Seed,Physostigma Venenosum,Boiron,PHYSOSTIGMA VENENOSUM SEED,30 [hp_C]/30[hp_C],PELLET,ORAL,UNKNOWN,CAT015,Others
MED022335,55758-511,"Glycerin, Naphazoline Hcl",Redness Relief,Pharmadel Llc,GLYCERIN,.25 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,Allergens [CS],CAT006,Respiratory
MED022388,0220-4407,Ricinus Communis Seed,Ricinus Communis,Boiron,RICINUS COMMUNIS SEED,5 [hp_C]/5[hp_C],PELLET,ORAL,UNKNOWN,CAT015,Others
MED022396,56152-4012,Benzoyl Peroxide,Anti Bac Acne Clearing,Cosmetic Enterprise Ltd,BENZOYL PEROXIDE,5 g/100mL,LOTION,TOPICAL,UNKNOWN,CAT015,Others
